         91927 function calls (91832 primitive calls) in 6.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        9    0.000    0.000    0.000    0.000 message.py:462(get)
        1    0.000    0.000    1.086    1.086 api.py:16(request)
        2    0.000    0.000    0.001    0.000 cookiejar.py:452(parse_ns_headers)
        1    0.000    0.000    0.554    0.554 client.py:289(begin)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:355(_decode_authority_key_identifier)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        3    0.000    0.000    0.002    0.001 sre_compile.py:759(compile)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:645(_decode_precert_signed_certificate_timestamps)
        1    0.000    0.000    0.000    0.000 SSL.py:716(__init__)
        1    0.000    0.000    0.021    0.021 pyopenssl.py:208(get_subj_alt_name)
      4/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:663(_load_unlocked)
        1    0.000    0.000    0.761    0.761 adapters.py:394(send)
        1    0.000    0.000    0.002    0.002 adapters.py:255(build_response)
        1    0.000    0.000    0.006    0.006 sessions.py:423(prepare_request)
        3    0.000    0.000    0.002    0.001 {built-in method builtins.__import__}
      248    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 url.py:274(_normalize_host)
      172    0.000    0.000    0.000    0.000 utils.py:42(<lambda>)
      104    0.000    0.000    0.000    0.000 element.py:1858(_normalize_search_value)
        2    0.000    0.000    0.002    0.001 cookiejar.py:1667(extract_cookies)
      7/3    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        1    0.000    0.000    0.098    0.098 connection.py:33(create_connection)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        2    0.000    0.000    0.000    0.000 client.py:403(close)
       22    0.000    0.000    0.000    0.000 enum.py:284(__call__)
        8    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
       78    0.000    0.000    0.000    0.000 extensions.py:1219(<genexpr>)
